comment_id,timestamp,author_id,target_id,effort,nid,brief_id,author_team
57,1320769943,10,0,15,27,0,1
58,1320775007,8,0,16,27,0,1
59,1320810014,64,0,711,100,29,1
11,1318862820,0,8,182,67,44,0
12,1318875000,0,0,111,73,0,0
14,1318878063,4,38,978,80,29,1
15,1318879654,8,0,114,78,0,1
16,1318879814,4,52,138,83,29,1
17,1318880157,52,4,264,83,29,0
18,1318880280,0,52,558,84,29,0
19,1318880515,8,52,441,83,29,1
20,1318881803,52,0,1160,84,29,0
21,1318882645,52,8,694,83,29,0
22,1318884545,52,38,906,80,29,0
23,1318886039,52,9,755,85,29,0
24,1318886914,60,52,72,85,29,0
25,1318888626,52,60,623,85,29,0
26,1318889321,60,52,134,85,29,0
27,1318889599,60,9,113,85,29,0
28,1318945890,36,9,256,85,29,0
29,1318957574,9,36,26,85,29,1
30,1318957776,9,60,741,85,29,1
31,1318970460,0,52,524,84,29,0
32,1318971693,52,0,643,84,29,0
33,1318981314,4,41,766,96,29,1
34,1319016400,41,4,198,96,29,0
35,1319023029,8,0,512,67,44,1
36,1319023812,76,9,161,85,29,0
37,1319050123,54,0,143,93,0,0
38,1319055780,0,77,376,103,29,0
39,1319057054,4,50,537,104,44,1
40,1319057100,0,36,590,100,29,0
41,1319057340,4,50,107,104,44,1
42,1319058244,9,50,233,97,29,1
43,1319058528,9,76,30,85,29,1
44,1319059020,9,51,494,99,29,1
45,1319060620,4,77,1081,103,29,1
46,1319060938,8,50,532,97,29,1
47,1319061180,0,51,2114,99,29,0
48,1319096439,70,0,157,109,0,0
49,1319103716,38,52,317,80,29,0
50,1319104242,38,4,1128,80,29,0
51,1319117445,77,4,190,103,29,0
52,1319117933,77,0,326,103,29,0
53,1319121383,51,9,2851,99,29,0
54,1319123105,51,0,1412,99,29,0
60,1320861780,4,10,670,138,29,1
61,1320927670,4,77,42,103,29,1
62,1320927671,4,77,42,103,29,1
63,1320927944,77,4,21,103,29,0
64,1320928352,4,77,559,103,29,1
65,1320928852,77,4,555,103,29,0
66,1320937829,4,77,284,103,29,1
67,1320940677,4,92,449,142,29,1
68,1321057632,4,133,805,144,29,1
69,1321099383,92,4,2984,142,29,0
70,1321106417,8,92,539,142,29,1
71,1321120464,64,92,768,142,29,1
72,1321131374,8,114,1392,145,29,1
73,1321157107,64,114,2021,42,29,1
74,1321224955,4,114,1011,145,29,1
75,1321266358,114,8,1600,145,29,0
76,1321357422,92,8,4108,142,29,0
77,1321359436,92,64,613,142,29,0
78,1321369335,10,64,41,42,29,1
79,1321437429,164,0,6,17,0,0
80,1321525814,4,92,815,142,29,1
81,1321628662,92,4,71,142,29,0
82,1321629686,4,64,1507,146,29,1
83,1321639273,4,133,449,144,29,1
84,1321666680,64,4,3764,146,29,1
86,1321756140,64,186,873,161,29,1
85,1321711560,64,64,54943,146,29,1
87,1321797587,186,64,455,161,29,0
88,1321804090,4,186,835,161,29,1
89,1321821360,186,4,3553,161,29,0
90,1321910319,9,186,933,161,29,1
91,1321911175,9,74,1238,111,29,1
92,1321911353,9,0,47,17,0,1
93,1321918226,64,9,988,161,29,1
94,1321921700,185,0,603,91,0,0
356,1324318841,9,44,818,248,29,1
2106,1336503531,683,812,1503,718,29,1
98,1321953432,133,4,4229,144,29,0
99,1321953779,8,84,1624,108,29,1
100,1321960837,64,133,1951,144,29,1
101,1321976201,4,186,83,161,29,1
102,1321978038,9,64,758,161,29,1
103,1321978089,133,64,1697,144,29,0
104,1321979982,4,133,1656,144,29,1
105,1321981755,64,133,1704,144,29,1
106,1321983060,9,195,701,163,44,1
107,1321984078,4,195,471,163,44,1
108,1321984261,9,195,154,163,44,1
109,1321986500,64,195,727,163,44,1
110,1321987994,8,74,1162,111,29,1
111,1321988986,64,10,1365,138,29,1
112,1322015266,133,4,1289,144,29,0
113,1322027846,0,0,325,76,0,0
114,1322037617,203,64,1705,146,29,0
115,1322038740,4,200,1021,165,29,1
116,1322040942,200,4,642,165,29,0
117,1322041231,8,4,531,165,29,1
118,1322046056,10,51,894,99,29,1
119,1322046537,8,9,1078,161,29,1
120,1322050740,64,203,5752,146,29,1
121,1322053140,200,114,5005,145,29,0
122,1322063340,9,200,1296,165,29,1
123,1322064378,51,10,2437,99,29,0
124,1322069458,64,133,259,144,29,1
125,1322073541,203,64,2737,146,29,0
126,1322082362,64,203,2464,146,29,1
494,1326808949,369,414,732,285,264,1
131,1322146800,64,203,1685,146,29,1
130,1322134901,4,8,81,167,44,1
132,1322155491,64,9,330,85,29,1
133,1322163470,203,64,1480,146,29,0
134,1322166369,203,64,7301,146,29,0
135,1322182196,185,0,330,135,0,0
136,1322217639,189,203,291,146,29,0
137,1322218195,10,8,188,64,29,1
160,1322555580,0,51,1093,99,29,0
142,1322246809,64,203,3318,146,29,1
143,1322248371,203,64,1310,146,29,0
144,1322248943,4,203,195,171,29,1
145,1322249653,203,4,277,171,29,0
146,1322250808,203,64,2473,146,29,0
147,1322252680,64,203,3404,171,29,1
148,1322307870,221,4,22,82,45,1
149,1322324400,64,203,11680,146,29,1
150,1322337251,203,64,2928,146,29,0
2142,1336595657,4,839,225,732,484,1
152,1322484737,200,9,8705,165,29,0
153,1322485110,200,8,123,167,44,0
155,1322496295,8,10,951,64,29,1
196,1322747285,114,200,220,145,29,0
162,1322600210,51,0,6553,99,29,0
202,1322851662,64,0,234,177,0,1
203,1322921684,239,133,1401,144,29,0
204,1322924710,239,77,1598,103,29,0
197,1322759511,203,64,2457,146,29,0
172,1322646445,4,239,1003,179,29,1
173,1322648154,239,4,1187,179,29,0
181,1322673800,64,239,189,179,29,1
175,1322671567,8,0,221,180,0,1
283,1323711883,4,241,638,207,190,1
183,1322674219,4,239,168,179,29,1
184,1322681954,64,4,1310,179,29,1
185,1322691515,4,64,371,179,29,1
187,1322695620,64,4,79,179,29,1
189,1322724235,64,203,288,146,29,1
190,1322729361,239,64,1097,179,29,0
205,1322935238,4,69,660,185,29,1
193,1322734440,0,51,877,99,29,0
200,1322825220,0,166,1054,181,29,0
199,1322799010,64,203,1312,146,29,1
201,1322829973,4,166,962,181,29,1
206,1322974912,77,4,174,103,29,0
207,1322975272,77,239,93,103,29,0
208,1323004268,166,0,3754,181,29,0
209,1323004386,9,4,638,185,29,1
210,1323008056,69,4,1017,185,29,0
211,1323010972,166,4,2607,181,29,0
212,1323010293,69,9,755,185,29,0
213,1323014477,4,166,1808,181,29,1
214,1323015390,4,239,485,144,29,1
215,1323015884,4,77,330,103,29,1
216,1323020069,8,166,1153,181,29,1
221,1323057927,64,69,365,185,29,1
222,1323079188,4,9,749,185,29,1
223,1323084373,4,203,290,171,29,1
224,1323086730,203,4,3243,171,29,0
218,1323021990,64,4,2243,144,29,1
219,1323023242,77,4,72,103,29,0
220,1323045960,64,69,1830,185,29,1
225,1323098231,69,4,426,185,29,0
226,1323101975,8,241,1428,192,29,1
227,1323104100,64,4,3426,171,29,1
228,1323106882,241,8,1308,192,29,0
229,1323108947,9,69,2073,185,29,1
230,1323115320,64,5,2407,193,29,1
231,1323117841,239,69,2645,185,29,0
232,1323191675,64,4,941,181,29,1
233,1323191931,4,241,956,192,29,1
234,1323192736,10,36,216,100,29,1
235,1323252519,241,4,2470,192,29,0
236,1323262064,4,241,1078,192,29,1
237,1323265344,241,4,573,192,29,0
238,1323269346,4,5,2166,193,29,1
239,1323275016,8,10,550,205,188,1
240,1323276008,8,241,938,192,29,1
241,1323278203,241,8,1722,192,29,0
242,1323278986,5,241,617,192,29,1
243,1323279169,5,4,85,207,190,1
244,1323280084,241,4,1469,207,190,0
245,1323281531,241,5,431,192,29,0
246,1323309371,133,239,1046,144,29,0
247,1323310065,133,4,1018,144,29,0
248,1323317142,64,10,181,205,188,1
249,1323342949,10,8,3832,205,188,1
250,1323356475,64,10,609,205,188,1
251,1323372240,0,133,63,144,29,0
252,1323372400,251,5,2862,193,29,0
253,1323379588,166,8,3291,181,29,0
254,1323382848,166,4,1173,181,29,0
255,1323382473,166,64,1051,181,29,0
256,1323384397,8,241,352,192,29,1
259,1323410820,64,8,5634,209,190,1
258,1323387000,8,64,1197,209,190,1
260,1323426788,241,8,261,192,29,0
261,1323440530,4,251,601,193,29,1
262,1323459727,5,0,108,17,0,1
263,1323477063,251,4,402,193,29,0
264,1323480757,4,5,1980,221,188,1
265,1323503572,133,0,27,144,29,0
446,1326301547,10,233,628,275,262,1
267,1323518623,4,64,1071,212,188,1
268,1323532845,4,239,1477,213,188,1
269,1323534629,4,166,462,181,29,1
270,1323535366,64,4,8397,212,188,1
271,1323538166,166,4,372,181,29,0
272,1323576360,64,166,2519,181,29,1
273,1323601620,4,166,3977,181,29,1
274,1323611571,166,64,480,181,29,0
275,1323612435,166,4,785,181,29,0
276,1323645927,64,233,541,226,29,1
277,1323684745,4,246,1255,223,29,1
278,1323685674,4,166,1508,181,29,1
279,1323686961,10,8,1372,64,29,1
280,1323690241,10,10,3,42,29,1
281,1323692510,7,4,156,207,190,1
282,1323701479,246,246,2572,223,29,0
284,1323712978,4,233,1006,226,29,1
285,1323713880,64,10,2367,42,29,1
286,1323720160,4,293,222,228,44,1
289,1323721111,293,4,79,228,44,0
290,1323721513,64,4,252,181,29,1
291,1323723532,4,293,147,228,44,1
292,1323725792,8,95,682,229,29,1
288,1323720999,8,10,1173,64,29,1
293,1323725894,8,95,807,229,29,1
294,1323729060,64,64,1145,182,44,1
295,1323731089,64,95,2638,229,29,1
296,1323733645,4,95,850,229,29,1
297,1323875650,95,4,1230,229,29,0
298,1323748860,64,4,6445,229,29,1
299,1323752099,64,82,727,230,45,1
300,1323768810,82,64,1767,230,45,0
301,1323790506,296,9,373,217,188,0
302,1323793532,4,82,1491,230,45,1
303,1323797885,4,9,828,217,188,1
304,1323798121,4,10,201,42,188,1
305,1323804125,64,64,678,146,29,1
306,1323804725,8,82,974,230,45,1
307,1323805291,64,4,85,42,45,1
310,1323871079,233,8,66,229,29,0
311,1323879720,64,8,3880,67,44,1
309,1323806793,8,4,985,42,44,1
312,1323894720,64,64,2975,67,44,1
313,1323906849,82,4,897,230,45,0
314,1323907686,82,8,740,230,45,0
315,1323908441,4,8,1060,237,188,1
316,1323909225,4,95,422,229,29,1
317,1323920700,64,4,3423,229,29,1
318,1323952688,9,296,757,217,188,1
319,1323953061,4,9,492,217,188,1
320,1323958097,8,64,552,67,44,1
321,1323971351,64,9,295,217,188,1
322,1323993900,8,9,1448,217,188,1
323,1323994294,8,9,53,217,188,1
324,1324006332,311,5,603,242,189,0
325,1324009320,64,5,1364,242,189,1
326,1324027129,315,5,2333,242,189,0
329,1324043152,166,5,2335,193,29,0
328,1324041938,64,8,130,217,188,1
330,1324045288,166,4,717,181,29,0
331,1324046495,319,311,739,242,189,0
332,1324046794,4,5,1523,242,189,1
333,1324048697,5,4,2097,242,189,1
334,1324049255,321,5,158,242,189,0
335,1324049166,5,315,1483,242,189,1
336,1324049807,321,5,391,242,189,0
337,1324049894,321,5,50,242,189,0
338,1324049939,5,64,2165,242,189,1
339,1324050454,5,311,1950,242,189,1
340,1324050458,5,311,1950,242,189,1
341,1324050581,5,319,84,242,189,1
342,1324056945,311,5,1587,242,189,0
343,1324058620,251,5,1471,242,189,0
344,1324060179,4,251,827,242,189,1
345,1324076639,4,317,118,244,187,1
346,1324076935,317,4,111,244,187,0
347,1324087312,64,64,891,146,29,1
348,1324091160,64,64,4594,241,44,1
349,1324163627,82,5,1663,242,189,0
350,1324166845,311,311,878,242,189,0
351,1324204495,4,82,1771,245,29,1
352,1324209795,82,4,1042,245,29,0
353,1324212012,8,317,1328,244,187,1
354,1324266157,64,4,2257,242,189,1
355,1324283133,311,64,3303,242,189,0
357,1324326047,5,293,617,228,44,1
358,1324326960,64,64,5311,241,44,1
359,1324342408,336,5,238,242,189,0
360,1324393586,64,64,3050,241,44,1
361,1324403580,64,8,2966,247,189,1
362,1324404683,4,44,119,248,29,1
363,1324407056,4,64,1539,242,189,1
364,1324407389,8,64,1671,247,189,1
365,1324407478,4,82,234,245,29,1
366,1324408150,4,266,750,249,43,1
367,1324408157,4,266,750,249,43,1
368,1324408911,266,4,945,249,43,0
369,1324409642,4,266,67,249,43,1
370,1324411301,293,5,663,228,44,0
