user ID,end period,P01,P01E,P02,P02E,P03,P03E,P04,P04E,P05,P05E,P06,P06E,P07,P07E,P08,P08E,P00,P00ECW01,CW01E,CW02,CW02E,CW03,CW03E,CW04,CW04E,CW05,CW05E,CW06,CW06E,CW07,CW07E,CW08,CW08E,CW00,CW00E,CRT01,CRT01E,CRT02,CRT02E,CRT03,CRT03E,CRT04,CRT04E,CRT05,CRT05E,CRT06,CRT06E,CRT07,CRT07E,CRT08,CRT08E,CRT00,CRT00E,CRN01,CRN01E,CRN02,CRN02E,CRN03,CRN03E,CRNO4,CRN04E,CRN05,CRN05E,CRN06,CRN06E,CRN07,CRN07E,CRN08,CRN08E,CRN00,CRN00E
4,2011-11-14,0,0,1,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23179,3,4528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25580,1,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12954,2,8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13742,16,15318,0,0,0,0,0,0,0,0,0,0,0,0,1,118,7,7763,3,3835,0,0,0,0,0,0,0,0,0,0,0,0,1,111,5,11190,5,6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2012-01-09,0,0,0,0,2,6252,0,0,0,0,0,0,0,0,0,0,0,0,15,12237,6,2876,37,31086,0,0,0,0,0,0,0,0,0,0,2,358,6,14837,1,239,19,13182,0,0,0,0,0,0,0,0,0,0,2,134,1,2427,1,413,13,23959,0,0,0,0,0,0,0,0,0,0,0,0
4,2012-02-06,0,0,1,4602,0,0,1,5093,0,0,0,0,0,0,0,0,0,0,5,2852,20,19447,20,15376,14,11119,0,0,0,0,0,0,0,0,1,970,1,1384,9,11548,12,7100,7,6003,0,0,0,0,0,0,0,0,0,0,0,0,6,10936,6,2962,2,1789,0,0,0,0,0,0,0,0,0,0
4,2012-03-05,0,0,0,0,0,0,0,0,1,3687,0,0,0,0,0,0,0,0,10,8786,7,7467,6,3708,8,5865,6,3656,0,0,0,0,0,0,1,147,8,12396,3,3051,4,3258,3,3299,4,5021,0,0,0,0,0,0,1,75,1,1330,0,0,1,3049,0,0,1,542,0,0,0,0,0,0,0,0
4,2012-04-02,0,0,0,0,0,0,0,0,1,5888,1,4948,0,0,0,0,0,0,9,9845,13,11587,7,4485,23,19625,9,7893,28,19132,0,0,0,0,0,0,10,17885,11,12620,3,1452,19,14544,5,4734,16,9353,0,0,0,0,0,0,1,94,3,3896,2,1485,2,3877,3,5893,2,767,0,0,0,0,0,0
4,2012-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7504,12,5193,14,8891,17,15774,13,9559,14,5600,6,4668,15,10079,2,202,9,17908,6,7956,9,8074,12,7962,12,13475,5,2620,3,2342,9,13621,0,0,1,1070,2,2523,3,10287,2,4847,0,0,1,244,1,1928,4,14372,0,0
4,2012-05-28,0,0,0,0,0,0,1,4026,0,0,0,0,1,1071,0,0,0,0,2,936,7,5846,14,10664,8,4181,1,728,7,3868,20,17748,17,8552,7,2232,1,1983,2,1001,10,12987,10,9439,2,2547,5,3574,25,14596,14,18736,6,4282,0,0,1,111,0,0,2,1371,0,0,0,0,3,882,1,1198,0,0
4,2012-06-25,0,0,0,0,0,0,0,0,0,0,0,0,1,6383,0,0,0,0,3,2572,2,1920,0,0,0,0,1,218,2,2473,9,5411,3,2083,1,1166,2,2245,1,20,0,0,0,0,0,0,2,973,12,10095,2,2901,2,2355,0,0,1,106,0,0,0,0,0,0,0,0,5,6576,0,0,0,0
4,2012-07-23,0,0,0,0,0,0,0,0,0,0,2,4960,1,227,0,0,0,0,3,1392,1,403,0,0,0,0,2,1508,15,4997,10,11961,2,931,0,0,0,0,0,0,0,0,0,0,0,0,36,30722,4,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6072,6,8831,0,0,0,0
4,2012-08-20,0,0,0,0,0,0,0,0,0,0,2,4073,0,0,0,0,0,0,0,0,2,306,0,0,1,337,0,0,8,4144,9,8589,1,241,1,790,0,0,0,0,0,0,0,0,0,0,9,8536,3,2210,0,0,0,0,0,0,2,2174,0,0,0,0,0,0,2,2200,3,3441,0,0,0,0
4,2012-09-17,0,0,0,0,1,1117,0,0,0,0,0,0,0,0,0,0,0,0,1,144,0,0,0,0,0,0,0,0,3,2042,3,2103,1,185,0,0,0,0,0,0,0,0,0,0,0,0,2,2378,2,2547,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2012-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,560,0,0,2,1220,0,0,5,2800,4,1051,1,81,2,987,1,1378,1,189,0,0,2,2144,0,0,8,9071,2,1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,666,0,0,2,1769
4,2012-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9150,0,0,1,93,3,1522,0,0,0,0,0,0,1,260,0,0,12,11170,0,0,1,1017,4,2899,0,0,0,0,1,1030,0,0,0,0,5,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3058
4,2012-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-11-14,3,13672,1,12104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,617,1,85,0,0,0,0,0,0,0,0,0,0,0,0,1,108,2,3293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4573,1,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-12-12,0,0,1,12215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,617,6,9729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2998,9,8494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-01-09,0,0,0,0,1,13688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,141,1,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3142,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-02-06,0,0,0,0,1,18726,1,9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1840,7,12370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,768,2,2807,0,0,0,0,0,0,0,0,0,0
5,2012-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2961,3,1320,4,1050,5,2017,0,0,2,607,0,0,0,0,0,0,2,1282,0,0,0,0,2,715,0,0,0,0,0,0,0,0,0,0,2,2329,1,531,1,4064,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15904,0,0,4,1036,2,465,0,0,3,1401,0,0,3,1862,0,0,6,18053,0,0,2,366,1,73,1,131,1,2105,0,0,2,3649,0,0,10,21188,0,0,2,2058,2,234,0,0,2,1796,0,0,2,458,0,0,7,8967,0,0
5,2012-05-28,0,0,0,0,0,0,0,0,0,0,0,0,1,12726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,792,0,0,0,0,1,856,0,0,0,0,0,0,6,8253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2632,1,3682,0,0
5,2012-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-07-23,0,0,0,0,0,0,0,0,0,0,1,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402,0,0,0,0,0,0
5,2012-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1401,0,0,0,0,0,0
5,2012-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,745,0,0,0,0
