From community,To community,00 - Undefined,01 - Bootcamp,02 - Making a living,"03 - We, the people",04 - Caring for commons,05 - Learning,06 - Living together,07 -Finale,08 - Resilience
0,0,65,174,143,90,57,12,39,70,23
0,1,0,10,0,0,0,0,0,0,0
0,2,2,78,3,81,6,0,1,0,2
0,3,0,0,3,0,0,0,0,0,0
0,4,13,69,57,17,42,30,21,33,4
0,5,25,32,44,15,16,4,45,60,27
0,6,0,7,0,0,1,0,0,0,0
0,7,4,15,0,23,29,8,17,1,0
0,8,0,1,6,0,0,0,0,0,0
0,9,7,8,18,1,11,0,15,32,38
0,10,0,7,14,8,5,0,11,6,12
0,11,0,0,0,0,3,0,0,0,0
0,12,0,30,1,0,0,10,7,5,0
0,13,17,21,12,27,10,10,27,30,1
0,14,0,0,0,0,0,0,1,2,1
1,0,0,10,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0
2,0,7,54,3,67,6,0,1,6,8
2,1,0,0,0,0,0,0,0,0,0
2,2,5,19,0,30,0,0,0,5,3
2,3,0,0,0,0,0,0,0,0,0
2,4,1,4,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,2,1
2,6,0,0,0,0,0,0,0,0,0
2,7,0,0,0,2,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0,0,0
2,10,1,0,0,1,0,0,0,0,0
2,11,0,0,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0,0
2,13,0,3,0,1,0,0,0,0,0
2,14,0,0,0,0,0,0,0,0,0
3,0,0,0,3,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0
3,3,0,0,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0,0,0
4,0,21,48,39,15,36,18,12,34,4
4,1,0,0,0,0,0,0,0,0,0
4,2,1,1,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0
4,4,10,33,45,19,42,21,10,20,1
4,5,6,7,17,2,2,0,2,3,1
4,6,0,0,0,0,0,0,0,0,0
4,7,0,3,0,1,2,1,3,0,0
4,8,0,0,2,0,0,0,0,0,0
4,9,1,0,2,0,0,0,1,2,0
4,10,0,0,4,1,0,0,0,1,0
4,11,0,0,0,0,0,0,0,0,0
4,12,0,0,0,0,0,2,2,0,0
4,13,1,1,0,0,4,0,0,5,1
4,14,0,0,0,0,0,0,0,0,0
5,0,35,28,38,13,18,4,52,64,26
5,1,0,0,0,0,0,0,0,0,0
5,2,1,0,0,0,0,0,0,0,1
5,3,0,0,0,0,0,0,0,0,0
5,4,2,7,13,2,4,0,2,4,3
5,5,54,24,37,7,16,1,25,53,19
5,6,0,0,0,0,0,0,0,0,0
5,7,0,2,1,1,1,1,1,0,0
5,8,0,0,0,0,0,0,0,0,0
5,9,3,2,2,0,0,0,9,3,8
5,10,1,2,2,0,1,0,0,0,1
5,11,0,0,0,0,0,0,0,0,0
5,12,0,1,0,0,0,2,2,0,0
5,13,2,5,3,0,1,0,2,22,0
5,14,0,0,0,0,0,0,0,0,0
6,0,0,5,0,0,2,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,0
6,6,0,2,0,0,3,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0,0,0
6,9,0,0,0,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0,0,0
6,11,0,0,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0,0
6,13,0,0,0,0,0,0,0,0,0
6,14,0,0,0,0,0,0,0,0,0
7,0,2,6,0,10,16,5,12,3,0
7,1,0,0,0,0,0,0,0,0,0
7,2,0,0,0,2,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0
7,4,0,2,0,1,2,1,4,0,0
7,5,0,3,1,0,1,1,1,0,0
7,6,0,0,0,0,0,0,0,0,0
7,7,1,5,0,21,5,0,10,1,0
7,8,0,0,0,0,0,0,0,0,0
7,9,0,0,0,0,1,0,0,0,0
7,10,0,0,0,0,0,0,1,0,0
7,11,0,0,0,0,0,0,0,0,0
7,12,0,1,0,0,0,0,0,0,0
7,13,0,1,0,0,3,0,0,1,0
7,14,0,0,0,0,0,0,0,0,0
8,0,0,1,3,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0
8,4,0,0,1,0,0,0,0,0,0
8,5,0,0,0,0,0,0,0,0,0
8,6,0,0,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,0,0,0
8,8,0,0,8,0,0,0,0,0,0
8,9,0,0,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0,0,0
8,11,0,0,0,0,0,0,0,0,0
8,12,0,0,0,0,0,0,0,0,0
8,13,0,0,0,0,0,0,0,0,0
8,14,0,0,0,0,0,0,0,0,0
9,0,11,9,15,0,14,0,18,24,38
9,1,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0
9,4,1,0,0,0,0,0,0,1,0
9,5,5,1,2,0,1,0,3,4,9
9,6,0,0,0,0,0,0,0,0,0
9,7,0,0,0,0,3,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0
9,9,4,5,1,0,2,0,19,6,32
9,10,0,0,0,0,0,0,0,0,2
9,11,0,0,0,0,0,0,0,0,0
9,12,0,0,0,0,0,0,0,0,0
9,13,1,0,0,0,0,0,5,1,0
9,14,0,0,0,0,0,0,0,0,0
10,0,1,4,8,7,2,0,7,3,10
10,1,0,0,0,0,0,0,0,0,0
10,2,1,0,0,1,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0
10,4,1,0,3,0,0,0,0,1,0
10,5,1,1,3,0,0,0,0,1,1
10,6,0,0,0,0,0,0,0,0,0
10,7,0,0,0,1,0,0,1,0,0
10,8,0,0,0,0,0,0,0,0,0
10,9,0,1,0,0,0,0,1,0,3
10,10,0,5,6,5,9,0,6,2,3
10,11,0,0,0,0,0,0,0,0,0
10,12,0,0,0,0,0,0,0,0,0
10,13,0,0,1,0,0,0,0,0,0
10,14,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,2,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,0,0
11,5,0,0,0,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0,0,0
11,7,0,0,0,0,0,0,0,0,0
11,8,0,0,0,0,0,0,0,0,0
