Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"932","965","<[2012-09-11T13:51:25.000, 2015-06-08T13:51:25.000, 1]>",,,,,,
"82","37","<[2012-05-30T16:16:30.000, 2015-02-24T15:16:30.000, 1]>",,,,,,
"678","325","<[2012-05-27T15:37:23.000, 2015-02-21T14:37:23.000, 1]>",,,,,,
"10","777","<[2012-05-09T23:57:06.000, 2012-09-05T17:27:59.000, 1); [2012-09-05T17:27:59.000, 2015-02-03T22:57:06.000, 2); [2015-02-03T22:57:06.000, 2015-06-02T17:27:59.000, 1]>",,,,,,
"988","10","<[2012-07-20T23:20:18.000, 2012-08-29T22:07:12.000, 1); [2012-08-29T22:07:12.000, 2015-04-16T23:20:18.000, 2); [2015-04-16T23:20:18.000, 2015-05-26T22:07:12.000, 1]>",,,,,,
"205","205","<[2012-06-24T13:50:22.000, 2012-06-24T13:51:28.000, 1); [2012-06-24T13:51:28.000, 2015-03-21T12:50:22.000, 2); [2015-03-21T12:50:22.000, 2015-03-21T12:51:28.000, 1]>",,,,,,
"8","186","<[2012-05-28T16:18:54.000, 2012-07-25T12:33:49.000, 1); [2012-07-25T12:33:49.000, 2015-02-22T15:18:54.000, 2); [2015-02-22T15:18:54.000, 2015-04-21T12:33:49.000, 1]>",,,,,,
"52","4","<[2011-10-17T21:35:57.000, 2014-07-13T21:35:57.000, 1]>",,,,,,
"239","716","<[2012-04-14T11:33:18.000, 2012-04-16T10:42:42.000, 1); [2012-04-16T10:42:42.000, 2015-01-09T10:33:18.000, 2); [2015-01-09T10:33:18.000, 2015-01-11T09:42:42.000, 1]>",,,,,,
"203","346","<[2012-01-24T20:32:30.000, 2014-10-20T21:32:30.000, 1]>",,,,,,
"4","251","<[2011-12-09T15:22:10.000, 2011-12-16T19:29:39.000, 1); [2011-12-16T19:29:39.000, 2014-09-04T16:22:10.000, 2); [2014-09-04T16:22:10.000, 2014-09-11T20:29:39.000, 1]>",,,,,,
"1299","702","<[2012-11-18T16:56:39.000, 2015-08-15T17:56:39.000, 1]>",,,,,,
"10","675","<[2012-08-06T16:02:35.000, 2015-05-03T16:02:35.000, 1]>",,,,,,
"857","1070","<[2012-07-20T12:04:49.000, 2015-04-16T12:04:49.000, 1]>",,,,,,
"890","782","<[2012-05-28T15:34:11.000, 2015-02-22T14:34:11.000, 1]>",,,,,,
"683","260","<[2012-05-01T12:59:09.000, 2015-01-26T11:59:09.000, 1]>",,,,,,
"10","683","<[2012-04-18T23:36:07.000, 2012-07-18T17:26:07.000, 1); [2012-07-18T17:26:07.000, 2012-07-31T16:49:22.000, 2); [2012-07-31T16:49:22.000, 2012-11-14T09:25:45.000, 3); [2012-11-14T09:25:45.000, 2015-01-13T22:36:07.000, 4); [2015-01-13T22:36:07.000, 2015-04-14T17:26:07.000, 3); [2015-04-14T17:26:07.000, 2015-04-27T16:49:22.000, 2); [2015-04-27T16:49:22.000, 2015-08-11T10:25:45.000, 1]>",,,,,,
"4","42","<[2012-02-24T21:24:58.000, 2014-11-20T21:24:58.000, 1]>",,,,,,
"890","711","<[2012-05-22T00:00:56.000, 2012-05-22T11:18:06.000, 1); [2012-05-22T11:18:06.000, 2012-05-22T13:30:14.000, 2); [2012-05-22T13:30:14.000, 2015-02-15T23:00:56.000, 3); [2015-02-15T23:00:56.000, 2015-02-16T10:18:06.000, 2); [2015-02-16T10:18:06.000, 2015-02-16T12:30:14.000, 1]>",,,,,,
"414","655","<[2012-05-15T00:56:35.000, 2015-02-08T23:56:35.000, 1]>",,,,,,
"348","8","<[2012-04-05T12:31:19.000, 2014-12-31T11:31:19.000, 1]>",,,,,,
"384","262","<[2012-04-07T20:23:42.000, 2015-01-02T19:23:42.000, 1]>",,,,,,
"64","307","<[2012-01-26T20:59:00.000, 2012-01-26T21:12:20.000, 1); [2012-01-26T21:12:20.000, 2012-01-30T22:16:00.000, 2); [2012-01-30T22:16:00.000, 2014-10-22T21:59:00.000, 3); [2014-10-22T21:59:00.000, 2014-10-22T22:12:20.000, 2); [2014-10-22T22:12:20.000, 2014-10-26T22:16:00.000, 1]>",,,,,,
"4","260","<[2012-03-13T21:50:29.000, 2012-06-25T12:08:37.000, 1); [2012-06-25T12:08:37.000, 2014-12-08T21:50:29.000, 2); [2014-12-08T21:50:29.000, 2015-03-22T11:08:37.000, 1]>",,,,,,
