Id,Label,Type,TimeInterval,Roles
"64","64","Member","<[2011-10-18T01:13:30.000, Infinity]>","administrator"
"4","4","Member","<[2011-09-16T11:54:39.000, Infinity]>","administrator"
"10","10","Member","<[2011-09-20T11:42:20.000, Infinity]>","administrator"
"8","8","Member","<[2011-09-16T21:51:49.000, Infinity]>","administrator"
"454","454","Member","<[2012-01-29T19:33:16.000, Infinity]>","content manager"
"468","468","Member","<[2012-02-01T14:56:30.000, Infinity]>",""
"38","38","Member","<[2011-10-17T20:53:20.000, Infinity]>",""
"52","52","Member","<[2011-10-17T21:38:14.000, Infinity]>",""
"221","221","Member","<[2011-11-26T13:34:44.000, Infinity]>","community manager"
"76","76","Member","<[2011-10-19T14:14:18.000, Infinity]>",""
"9","9","Member","<[2011-09-19T01:50:47.000, Infinity]>","administrator, community manager"
"60","60","Member","<[2011-10-17T23:53:34.000, Infinity]>",""
"36","36","Member","<[2011-10-17T20:44:01.000, Infinity]>",""
"41","41","Member","<[2011-10-17T20:59:07.000, Infinity]>",""
"50","50","Member","<[2011-10-17T21:30:33.000, Infinity]>",""
"474","474","Member","<[2012-02-03T02:05:42.000, Infinity]>",""
"1062","1062","Member","<[2012-06-15T23:34:07.000, Infinity]>",""
"239","239","Member","<[2011-11-30T10:30:42.000, Infinity]>",""
"77","77","Member","<[2011-10-19T18:57:05.000, Infinity]>",""
"439","439","Member","<[2012-01-24T15:47:10.000, Infinity]>","administrator"
"84","84","Member","<[2011-10-20T06:48:48.000, Infinity]>",""
"74","74","Member","<[2011-10-19T12:38:31.000, Infinity]>",""
"369","369","Member","<[2012-01-07T13:57:09.000, Infinity]>","community manager"
"396","396","Member","<[2012-01-14T11:56:07.000, Infinity]>",""
"683","683","Member","<[2012-04-04T17:49:18.000, Infinity]>",""
"92","92","Member","<[2011-11-09T12:10:47.000, Infinity]>",""
"537","537","Member","<[2012-02-21T21:06:35.000, Infinity]>",""
"133","133","Member","<[2011-11-10T18:20:48.000, Infinity]>",""
"114","114","Member","<[2011-11-10T01:15:03.000, Infinity]>",""
"536","536","Member","<[2012-02-21T16:24:08.000, Infinity]>",""
"200","200","Member","<[2011-11-23T01:17:06.000, Infinity]>",""
"203","203","Member","<[2011-11-23T10:25:29.000, Infinity]>",""
"189","189","Member","<[2011-11-21T12:49:36.000, Infinity]>",""
"233","233","Member","<[2011-11-28T20:00:36.000, Infinity]>",""
"186","186","Member","<[2011-11-19T17:28:59.000, Infinity]>",""
"44","44","Member","<[2011-10-17T21:07:04.000, Infinity]>",""
"195","195","Member","<[2011-11-22T18:47:31.000, Infinity]>",""
"166","166","Member","<[2011-11-16T20:22:47.000, Infinity]>",""
"370","370","Member","<[2012-01-08T10:47:25.000, Infinity]>",""
"69","69","Member","<[2011-10-18T11:33:09.000, Infinity]>",""
"5","5","Member","<[2011-09-16T13:02:02.000, Infinity]>","administrator"
"241","241","Member","<[2011-12-01T11:46:54.000, Infinity]>",""
"251","251","Member","<[2011-12-05T18:54:43.000, Infinity]>",""
"716","716","Member","<[2012-04-11T12:08:56.000, Infinity]>",""
"540","540","Member","<[2012-02-22T18:36:37.000, Infinity]>",""
"425","425","Member","<[2012-01-19T02:30:14.000, Infinity]>",""
"358","358","Member","<[2012-01-04T17:22:10.000, Infinity]>",""
"7","7","Member","<[2011-09-16T14:41:16.000, Infinity]>","administrator"
"357","357","Member","<[2012-01-04T16:32:28.000, Infinity]>",""
"296","296","Member","<[2011-12-13T16:13:20.000, Infinity]>",""
"246","246","Member","<[2011-12-03T02:50:16.000, Infinity]>",""
"346","346","Member","<[2011-12-27T02:34:16.000, Infinity]>",""
"293","293","Member","<[2011-12-12T19:41:19.000, Infinity]>",""
"95","95","Member","<[2011-11-09T13:33:10.000, Infinity]>",""
"82","82","Member","<[2011-10-19T21:26:09.000, Infinity]>",""
"321","321","Member","<[2011-12-16T17:06:49.000, Infinity]>",""
"311","311","Member","<[2011-12-16T05:08:33.000, Infinity]>",""
"319","319","Member","<[2011-12-16T16:26:20.000, Infinity]>",""
"336","336","Member","<[2011-12-20T02:45:10.000, Infinity]>",""
"315","315","Member","<[2011-12-16T10:43:47.000, Infinity]>",""
"1289","1289","Member","<[2012-10-08T14:28:54.000, Infinity]>",""
"317","317","Member","<[2011-12-16T15:17:53.000, Infinity]>",""
"722","722","Member","<[2012-04-12T13:57:28.000, Infinity]>",""
"795","795","Member","<[2012-04-29T20:53:05.000, Infinity]>",""
"644","644","Member","<[2012-04-03T12:01:52.000, Infinity]>",""
"266","266","Member","<[2011-12-07T14:31:43.000, Infinity]>",""
"412","412","Member","<[2012-01-16T18:26:07.000, Infinity]>",""
"1299","1299","Member","<[2012-10-11T03:26:27.000, Infinity]>",""
"932","932","Member","<[2012-05-29T23:18:00.000, Infinity]>",""
"145","145","Member","<[2011-11-12T01:14:44.000, Infinity]>","administrator"
"262","262","Member","<[2011-12-06T22:36:45.000, Infinity]>",""
"275","275","Member","<[2011-12-09T21:25:41.000, Infinity]>",""
"326","326","Member","<[2011-12-16T20:50:56.000, Infinity]>",""
"360","360","Member","<[2012-01-06T08:38:35.000, Infinity]>",""
"290","290","Member","<[2011-12-11T20:06:08.000, Infinity]>",""
"1221","1221","Member","<[2012-08-27T05:54:21.000, Infinity]>",""
"127","127","Member","<[2011-11-10T15:28:48.000, Infinity]>",""
"378","378","Member","<[2012-01-10T00:50:33.000, Infinity]>",""
"812","812","Member","<[2012-05-03T14:37:51.000, Infinity]>",""
"405","405","Member","<[2012-01-15T04:26:08.000, Infinity]>",""
