nid,author_id,author_teambrief_id,date,effort

42,4,1,29,14 Oct 2011 - 16:55,5944
64,8,1,29,17 Oct 2011 - 09:09,4180
66,8,1,45,17 Oct 2011 - 09:54,102
67,8,1,44,17 Oct 2011 - 09:57,1536
80,38,0,29,17 Oct 2011 - 19:40,4286
82,4,1,45,17 Oct 2011 - 20:14,889
83,52,0,29,17 Oct 2011 - 20:21,4095
84,52,0,29,17 Oct 2011 - 20:30,4104
85,9,1,29,17 Oct 2011 - 20:31,6185
96,41,0,29,18 Oct 2011 - 16:17,2804
97,50,0,29,18 Oct 2011 - 22:43,3343
99,51,0,29,18 Oct 2011 - 23:28,5138
100,36,0,29,19 Oct 2011 - 15:42,5888
103,77,0,29,19 Oct 2011 - 17:37,1194
104,50,0,44,19 Oct 2011 - 17:45,1501
108,84,0,29,20 Oct 2011 - 05:32,4032
111,74,0,29,20 Oct 2011 - 15:21,1669
138,10,1,29,9 Nov 2011 - 17:40,7413
142,92,0,29,10 Nov 2011 - 14:05,21000
144,133,0,29,11 Nov 2011 - 23:02,5244
145,114,0,29,12 Nov 2011 - 18:43,2253
146,64,1,29,13 Nov 2011 - 03:58,10402
161,186,0,29,19 Nov 2011 - 23:16,4363
163,195,0,44,22 Nov 2011 - 18:07,1705
165,200,0,29,23 Nov 2011 - 04:02,10054
167,8,1,44,23 Nov 2011 - 23:53,2208
171,203,0,29,25 Nov 2011 - 20:17,6665
179,239,0,29,30 Nov 2011 - 09:58,4486
181,166,0,29,1 Dec 2011 - 21:35,2933
182,64,1,44,2 Dec 2011 - 04:38,3307
185,69,0,29,3 Dec 2011 - 16:07,2076
192,241,0,29,5 Dec 2011 - 13:21,696
193,5,1,29,5 Dec 2011 - 17:04,9126
205,10,1,188,7 Dec 2011 - 13:15,994
207,4,1,190,7 Dec 2011 - 16:43,2292
209,64,1,190,7 Dec 2011 - 19:21,5815
211,64,1,189,8 Dec 2011 - 00:25,3252
212,64,1,188,8 Dec 2011 - 05:01,4611
213,239,0,188,8 Dec 2011 - 11:24,4546
214,64,1,191,8 Dec 2011 - 20:26,8559
217,9,1,188,9 Dec 2011 - 12:01,8308
221,5,1,188,9 Dec 2011 - 18:44,12183
223,246,0,29,11 Dec 2011 - 19:17,5312
226,233,0,29,11 Dec 2011 - 23:33,2014
228,293,0,44,12 Dec 2011 - 20:29,7430
229,95,0,29,12 Dec 2011 - 20:45,3851
230,82,0,45,13 Dec 2011 - 01:24,5678
232,10,1,191,13 Dec 2011 - 11:58,884
237,8,1,188,14 Dec 2011 - 12:48,2721
241,64,1,44,15 Dec 2011 - 21:12,2649
242,5,1,189,16 Dec 2011 - 03:19,12240
244,317,0,187,16 Dec 2011 - 23:57,1313
245,82,0,29,17 Dec 2011 - 23:55,6613
247,8,1,189,19 Dec 2011 - 13:16,4136
248,44,0,29,19 Dec 2011 - 18:04,3189
249,266,0,43,20 Dec 2011 - 15:49,711
250,9,1,191,23 Dec 2011 - 13:26,7332
253,64,1,44,2 Jan 2012 - 21:52,4558
255,326,0,29,3 Jan 2012 - 17:36,24200
257,358,0,188,5 Jan 2012 - 13:24,3130
258,360,0,191,6 Jan 2012 - 07:43,145
261,290,0,191,7 Jan 2012 - 17:10,2069
266,346,0,29,9 Jan 2012 - 01:53,5545
268,10,1,191,9 Jan 2012 - 10:32,6710
270,64,1,262,9 Jan 2012 - 18:58,16091
273,127,0,29,10 Jan 2012 - 16:22,11855
275,233,0,262,11 Jan 2012 - 17:53,6646
276,4,1,264,12 Jan 2012 - 19:21,3718
277,378,0,29,12 Jan 2012 - 20:44,3676
278,203,0,44,13 Jan 2012 - 17:23,18213
279,203,0,262,13 Jan 2012 - 19:02,5303
282,405,0,262,15 Jan 2012 - 05:43,8878
284,64,1,269,16 Jan 2012 - 22:20,8477
285,414,0,264,17 Jan 2012 - 13:50,1254
289,412,0,29,18 Jan 2012 - 12:57,3270
290,384,0,263,18 Jan 2012 - 13:40,3306
291,369,1,29,18 Jan 2012 - 13:58,2883
293,209,0,191,18 Jan 2012 - 19:14,3638
294,425,0,29,20 Jan 2012 - 01:28,14347
296,412,0,44,21 Jan 2012 - 00:00,1287
297,203,0,262,21 Jan 2012 - 16:26,3841
299,5,1,262,23 Jan 2012 - 16:35,13718
300,8,1,267,23 Jan 2012 - 22:00,5349
301,425,0,267,23 Jan 2012 - 22:21,6721
304,378,0,188,26 Jan 2012 - 18:12,2128
305,307,0,262,26 Jan 2012 - 18:17,5909
307,241,0,269,27 Jan 2012 - 00:33,2422
308,4,1,262,27 Jan 2012 - 13:08,2653
310,233,0,264,30 Jan 2012 - 04:28,1109
313,412,0,188,31 Jan 2012 - 00:56,1777
326,472,0,269,2 Feb 2012 - 18:38,4571
327,64,1,262,2 Feb 2012 - 23:58,4453
331,482,0,262,4 Feb 2012 - 22:48,2183
332,37,1,264,6 Feb 2012 - 08:08,3344
333,4,1,189,6 Feb 2012 - 16:37,4645
337,474,0,29,10 Feb 2012 - 13:37,8029
342,8,1,324,12 Feb 2012 - 22:12,3420
350,439,1,267,14 Feb 2012 - 10:57,5188
351,5,1,269,14 Feb 2012 - 12:35,18784
352,351,0,191,15 Feb 2012 - 09:40,5232
354,514,0,264,15 Feb 2012 - 10:47,1416
356,513,0,263,15 Feb 2012 - 18:34,5658
357,468,0,29,16 Feb 2012 - 13:31,3114
358,5,1,323,16 Feb 2012 - 16:40,9186
359,64,1,322,17 Feb 2012 - 04:38,4956
360,4,1,322,21 Feb 2012 - 18:07,5115
365,540,0,322,22 Feb 2012 - 21:31,823
372,262,0,29,24 Feb 2012 - 01:19,3752
373,474,0,323,24 Feb 2012 - 02:17,3513
374,75,0,191,24 Feb 2012 - 11:24,1389
375,39,0,191,24 Feb 2012 - 12:59,5358
376,42,0,191,24 Feb 2012 - 18:48,1825
377,532,0,269,24 Feb 2012 - 21:13,6739
378,205,0,191,25 Feb 2012 - 16:05,4228
380,262,0,191,27 Feb 2012 - 15:54,12812
382,536,0,262,28 Feb 2012 - 20:57,1568
384,101,0,323,29 Feb 2012 - 14:42,5431
387,555,0,269,1 Mar 2012 - 23:51,1849
397,536,0,29,4 Mar 2012 - 15:34,1588
398,64,1,44,5 Mar 2012 - 16:41,2213
399,64,1,44,5 Mar 2012 - 16:51,2388
402,64,1,29,5 Mar 2012 - 17:09,1813
404,64,1,44,5 Mar 2012 - 20:38,1926
407,439,1,29,7 Mar 2012 - 13:33,6892
408,64,1,44,8 Mar 2012 - 05:00,1520
410,64,1,44,8 Mar 2012 - 22:08,1790
411,64,1,44,8 Mar 2012 - 22:41,1693
413,570,0,406,10 Mar 2012 - 10:41,2164
416,474,0,269,10 Mar 2012 - 22:05,6477
419,44,0,191,12 Mar 2012 - 05:35,3680
420,10,1,44,12 Mar 2012 - 10:30,3089
421,64,1,401,12 Mar 2012 - 12:19,5522
422,412,0,401,12 Mar 2012 - 21:28,3724
